material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,6.8333330154418945,5.414999485015869,1.568282961845398,0.18043012917041779,4.731725692749023,0.03172588348388672
si,550.0,4.3,0.055,0.6283185307179585,6.8333330154418945,5.414999485015869,1.3571679592132568,0.18043012917041779,4.258743762969971,-0.04125642776489258
si,650.0,3.88,0.02,0.1933287786824488,6.8333330154418945,5.414999485015869,1.0857343673706055,0.18043012917041779,3.8772621154785156,-0.0027379989624023438
si,850.0,3.68,0.006,0.044351896285973545,7.164999485015869,5.663332939147949,0.8746193647384644,0.18043012917041779,3.6957523822784424,0.015752315521240234
si,1000.0,3.57,0.001,0.006283185307179586,7.164999485015869,5.663332939147949,0.7539822459220886,0.18043012917041779,3.5665159225463867,-0.003484010696411133
sio2,404.7,1.4696,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4637681245803833,-0.0058318376541137695
sio2,435.8,1.4667,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623594284057617,-0.004340529441833496
sio2,486.1,1.4631,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4608179330825806,-0.0022820234298706055
sio2,546.1,1.4601,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4601701498031616,7.009506225585938e-05
sio2,589.3,1.4585,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4605059623718262,0.002005934715270996
sio2,632.8,1.457,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4615228176116943,0.004522800445556641
sio2,656.3,1.4565,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623554944992065,0.005855441093444824
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.1949999332427979,2.683333158493042,0.03333333507180214,-0.02933323383331299,1.4943186044692993,-0.005681395530700684
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.02933323383331299,1.4926329851150513,-0.0023670196533203125
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.02933323383331299,1.4921767711639404,0.0001767873764038086
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.1949999332427979,2.683333158493042,0.0,-0.02933323383331299,1.4922734498977661,0.0022734403610229492
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.1949999332427979,2.683333158493042,0.0,-0.02933323383331299,1.493598222732544,0.005598187446594238
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,0.0024219155311584473,4.447511672973633,0.0275115966796875
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,0.0024219155311584473,4.226745128631592,0.04674530029296875
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,0.0024219155311584473,4.053428649902344,0.10342860221862793
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,0.0024219155311584473,3.8970768451690674,0.11707687377929688
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,0.0024219155311584473,3.7188379764556885,0.058837890625
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.5333333015441895,0.0024219155311584473,3.609832763671875,0.029832839965820312
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.5,0.0024219155311584473,3.372108221054077,-0.12789177894592285
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.428333282470703,1.4666666984558105,0.0024219155311584473,3.194458246231079,-0.2555418014526367
air,450.0,1.00028,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,0.00459134578704834
metalx,420.0,1.45,0.12,1.7951958020513101,0.20000000298023224,2.931666612625122,0.9333333373069763,-0.25736984610557556,1.387308955192566,-0.0626910924911499
metalx,500.0,1.62,0.55,2.8,0.20000000298023224,2.931666612625122,0.9333333373069763,-0.25736984610557556,1.7261000871658325,0.10610008239746094
metalx,580.0,1.88,1.05,2.8,0.20000000298023224,2.931666612625122,0.9800000190734863,-0.25736984610557556,1.9472929239273071,0.06729292869567871
metalx,660.0,2.12,1.55,2.8,0.20000000298023224,2.931666612625122,1.0266666412353516,-0.25736984610557556,2.1212992668151855,0.0012993812561035156
metalx,740.0,2.35,2.05,2.8,0.20000000298023224,2.931666612625122,1.1200000047683716,-0.25736984610557556,2.3448855876922607,-0.005114316940307617
metalx,820.0,2.52,2.45,2.8,0.20000000298023224,2.931666612625122,1.1666666269302368,-0.25736984610557556,2.4796383380889893,-0.040361642837524414
metalx,920.0,2.68,2.85,2.8,0.20000000298023224,2.931666612625122,1.2133333683013916,-0.25736984610557556,2.6134750843048096,-0.06652498245239258
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04749149829149246,1.0108394622802734,-0.009160518646240234
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04749149829149246,1.0080779790878296,-0.006922006607055664
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749149829149246,1.0059559345245361,-0.00604403018951416
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749149829149246,1.0050876140594482,-0.004912376403808594
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04749149829149246,1.0064388513565063,-0.0015611648559570312
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,0.20000000298023224,2.434999942779541,0.0,-0.04749149829149246,1.0132055282592773,0.007205486297607422
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,0.20000000298023224,2.434999942779541,0.0,-0.04749149829149246,1.026394248008728,0.02139425277709961
highnlowk,430.0,3.9,0.0009,0.013150852968515411,7.496665954589844,6.408332824707031,0.20000001788139343,0.029585838317871094,3.6460835933685303,-0.25391650199890137
highnlowk,500.0,3.75,0.0007,0.00879645943005142,7.496665954589844,6.408332824707031,0.20000001788139343,0.029585838317871094,3.6355130672454834,-0.1144869327545166
highnlowk,580.0,3.6,0.0005,0.005416539057913436,7.164999485015869,6.159999370574951,0.13333334028720856,0.029585838317871094,3.559021234512329,-0.04097867012023926
highnlowk,660.0,3.48,0.00038,0.003617591540497337,6.8333330154418945,5.911666393280029,0.13333334028720856,0.029585838317871094,3.491143226623535,0.011143207550048828
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,6.501666069030762,5.663332939147949,0.13333334028720856,0.029585838317871094,3.4268264770507812,0.04682636260986328
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,6.501666069030762,5.663332939147949,0.13333334028720856,0.029585838317871094,3.4356508255004883,0.1356508731842041
highnlowk,1020.0,3.24,0.00013,0.0008007981273856334,6.501666069030762,5.663332939147949,0.13333334028720856,0.029585838317871094,3.455761671066284,0.21576166152954102
midkcurve,410.0,2.4,0.42,2.0,0.20000000298023224,2.683333158493042,1.2999999523162842,-0.050664253532886505,2.45882511138916,0.058825016021728516
midkcurve,470.0,2.33,0.36,2.0,0.20000000298023224,2.683333158493042,1.2999999523162842,-0.050664253532886505,2.4064722061157227,0.07647228240966797
midkcurve,530.0,2.29,0.31,2.0,0.20000000298023224,2.683333158493042,1.2666666507720947,-0.050664253532886505,2.324577808380127,0.03457784652709961
midkcurve,610.0,2.26,0.24,2.0,0.20000000298023224,2.683333158493042,1.2666666507720947,-0.050664253532886505,2.2464077472686768,-0.013592243194580078
midkcurve,690.0,2.3,0.19,1.7301524758900306,0.53166663646698,2.683333158493042,1.2333333492279053,-0.050664253532886505,2.3330464363098145,0.03304648399353027
midkcurve,790.0,2.38,0.14,1.1134758772216988,0.8633332848548889,2.683333158493042,1.1666666269302368,-0.050664253532886505,2.3380286693573,-0.041971445083618164
midkcurve,920.0,2.5,0.1,0.6829549246934332,1.1949999332427979,2.683333158493042,1.1333332061767578,-0.050664253532886505,2.35264253616333,-0.14735746383666992
